"","batch","individual_id","sex","age","Residuals"
"7900001",1.56892869020448e-12,0,0.00175663824259948,0.00215416193824032,0.996089199817591
"7900009",0,0,0,0.00440416729403819,0.995595832705962
"7900030",1.04117247934614e-09,0.152078054073132,3.90996191470389e-08,0.000293645314579652,0.847628260471496
"7900051",0,0,0,0.000794411359394385,0.999205588640606
"7900076",0,0.0964930016797509,0,0.00554658838197978,0.897960409938269
"7900087",0,0,0,0.000585133639550332,0.99941486636045
"7900095",0,0,0,0.00586233294744297,0.994137667052557
"7900119",0,0,0,0.000403985894567058,0.999596014105433
"7900129",0,0.203977099162588,0.00385799794169382,0.0184115971039731,0.773753305791745
"7900146",3.40119386418786e-14,0.185823541061598,0,0.010151194049066,0.804025264889302
"7900157",0,0.0155895236776475,0,0.00103411490429765,0.983376361418055
